,NN
0,0.7015891574783472
1,0.6403852856293017
2,0.5405639880612678
3,0.5501853061700722
4,0.5894965571244135
5,0.7095035475367389
6,0.5646528893342695
7,0.7107889390261534
8,0.5831530638385916
9,0.704973481360859
10,0.6410115768392277
11,0.7062315727998041
12,0.5921264082308697
13,0.6766450814328944
14,0.5993365539067389
15,0.5391034333119734
16,0.5750197631608884
17,0.6828921894210251
18,0.6712218684471133
19,0.6976284506208337
20,0.6881985114949527
21,0.6549554088021604
22,0.5655470753403289
23,0.5550147168754351
24,0.6615212861132338
