,NN_tl
0,0.6779513086173284
1,0.6669508866431465
2,0.7080411427527858
3,0.6523924026644375
4,0.6937095367454453
5,0.6933232439616233
6,0.6299358086737633
7,0.6856027541555288
8,0.6977635168603613
9,0.6832020898941464
10,0.6872067357866444
11,0.6957349069953982
12,0.6626842508235327
13,0.6315809689041463
14,0.68315887956802
15,0.6558369090402061
16,0.6779464318708956
17,0.6614515335951681
18,0.675543444585882
19,0.7134414370540594
20,0.7134342765140528
21,0.6653780759702426
22,0.6679423224581004
23,0.6682192490135906
24,0.6806282219775146
