,KNN1,KNN3,KNN5,KNN7,KNN9,KNN11,RandomForestClassifier
0,0.641528502,0.658004501,0.680434322,0.683586632,0.678826543,0.668133444,0.669518003
1,0.656946488,0.66490972,0.680484576,0.678577096,0.674728805,0.669909021,0.677460867
2,0.663660333,0.659655904,0.686530734,0.677045117,0.679371046,0.67703642,0.673027009
3,0.636076202,0.649516697,0.667806441,0.671918578,0.674517086,0.673191064,0.662808265
4,0.657793059,0.669835605,0.687970263,0.690023614,0.688619868,0.679951985,0.680718085
5,0.645644448,0.665034247,0.682688325,0.685180839,0.688878938,0.680393243,0.67891232
6,0.655509266,0.657722523,0.673607866,0.680248541,0.681605515,0.669093496,0.661376806
7,0.656627558,0.662065356,0.677752606,0.684972264,0.677429027,0.677114869,0.673957888
8,0.653480995,0.668203396,0.691426999,0.695072791,0.685316769,0.676221222,0.682971363
9,0.656744688,0.668631785,0.681053894,0.688469492,0.687998074,0.682981056,0.67314269
10,0.648860548,0.657621038,0.679349621,0.681341225,0.676118229,0.677379189,0.661838776
11,0.651702095,0.66976682,0.679591158,0.67376021,0.673407517,0.667034577,0.670506988
12,0.642874355,0.64967142,0.672622807,0.670168877,0.67467036,0.67656935,0.669878997
13,0.635221597,0.651263861,0.676818104,0.679687378,0.678516804,0.670353948,0.669606781
14,0.648780309,0.666610231,0.689095634,0.683029883,0.685471855,0.672259097,0.681766819
15,0.657163288,0.655871383,0.681368732,0.684175581,0.674634592,0.690025891,0.67130738
16,0.660637363,0.66067486,0.681144858,0.686347768,0.675505926,0.665130538,0.667554107
17,0.641048379,0.653556907,0.676275121,0.689672587,0.677041131,0.665186917,0.666421536
18,0.650762096,0.666066523,0.684317587,0.687691887,0.675604501,0.667285833,0.667897934
19,0.656473197,0.666144247,0.686609183,0.706223863,0.700701819,0.697278329,0.676135254
20,0.661009778,0.665149973,0.685403515,0.685920078,0.692918879,0.683037586,0.671072488
21,0.652828288,0.65274967,0.668402419,0.665057174,0.66672554,0.659847018,0.659590151
22,0.660202511,0.668824828,0.69189262,0.68738099,0.68624801,0.671868665,0.677027452
23,0.648430731,0.652391044,0.678101822,0.685399928,0.683025172,0.677775344,0.685225366
24,0.653403633,0.658569215,0.689019359,0.701485221,0.689164662,0.690675393,0.670618283
