,NN
0,0.7114197801752351
1,0.6725305830838936
2,0.7027952098681152
3,0.6708881434126266
4,0.727262853214975
5,0.6984595581535618
6,0.7012925940498214
7,0.6874705816490365
8,0.7283439266573107
9,0.6944403981944788
10,0.6917300328794322
11,0.6016478599630605
12,0.6997155909016627
13,0.6722539339514312
14,0.7106677327025531
15,0.6987115511603712
16,0.6967747825690007
17,0.7030499424405845
18,0.7048211128733435
19,0.7355461006168297
20,0.648275490155805
21,0.6968516795607252
22,0.6422058173962417
23,0.7024924658221721
24,0.6323077539073186
