,NN_Smote
0,0.7171975228861225
1,0.7147639688050009
2,0.7344444637698174
3,0.6657726567955078
4,0.7123102686214764
5,0.7322078912447043
6,0.7141011511543063
7,0.6837563053558701
8,0.7207387280836682
9,0.7085461691011201
10,0.6965781611730985
11,0.709165704774968
12,0.6962606671529414
13,0.673004543515969
14,0.7064746099022486
15,0.6955138187174073
16,0.7057208282340393
17,0.680818184354637
18,0.6982367469309798
19,0.6891637560843219
20,0.6656469017889604
21,0.6965199990145592
22,0.7090810893857684
23,0.695485417737866
24,0.7276794659819688
