id,label
5001711,neutral
5001712,neutral
5001713,good
5001714,good
5001715,good
5001717,bad
5001718,neutral
5001719,neutral
5001720,bad
5001723,good
5001724,neutral
5001725,bad
5001726,neutral
5001728,bad
5001729,bad
5001730,neutral
5001731,good
5001732,good
5001733,good
5001734,bad
5001735,neutral
5001736,neutral
5001737,neutral
5001738,neutral
5001739,neutral
5001742,neutral
5001743,neutral
5001744,neutral
5001745,bad
5001746,bad
5001747,neutral
5001748,neutral
5001754,good
5001755,neutral
5001756,neutral
5001757,neutral
5001758,neutral
5001759,bad
5001760,neutral
5001765,neutral
5001766,neutral
5001767,good
5001768,bad
5001769,neutral
5001770,neutral
5001771,bad
5001772,bad
5001773,bad
5001774,neutral
5001775,neutral
5001778,good
5001779,good
5001780,good
5001782,bad
5001783,neutral
5001784,bad
5001785,neutral
5001786,neutral
5001787,good
5001788,good
5001789,neutral
5001790,neutral
5001791,bad
5001792,bad
5001793,bad
5001794,neutral
5001795,good
5001796,good
5001798,neutral
5001800,bad
5001803,good
5001804,bad
5001805,neutral
5001806,neutral
5001807,neutral
5001808,neutral
5001812,bad
5001813,good
5001816,bad
5001817,neutral
5001818,neutral
5001819,good
5001820,neutral
5001821,neutral
5001823,bad
5001824,bad
5001825,neutral
5001827,good
5001828,bad
5001829,neutral
5001830,neutral
5001831,bad
5001832,neutral
5001833,neutral
5001836,neutral
5001837,neutral
5001838,bad
5001839,bad
5001840,bad
5001841,neutral
5001842,neutral
5001843,neutral
5001844,neutral
5001846,neutral
5001847,neutral
5001848,bad
5001849,bad
5001850,bad
5001851,neutral
5001852,neutral
5001853,neutral
5001854,neutral
5001855,neutral
5001856,neutral
5001857,bad
5001858,neutral
5001859,neutral
5001860,good
5001861,good
5001862,good
5001863,good
5001864,good
5001867,neutral
5001870,good
5001871,good
5001872,bad
5001873,bad
5001874,bad
5001875,good
5001876,bad
5001877,bad
5001879,good
5001882,neutral
5001883,neutral
5001886,bad
5001887,bad
5001888,bad
5001889,bad
5001890,neutral
5001891,neutral
5001892,neutral
5001893,good
5001894,good
5001895,neutral
5001896,neutral
5001897,neutral
5001898,neutral
5001899,good
5001900,neutral
5001901,neutral
5001902,neutral
5001904,good
5001905,neutral
5001906,neutral
5001907,neutral
5001908,bad
5001909,bad
5001910,neutral
5001911,neutral
5001912,neutral
5001913,neutral
5001914,neutral
5001915,good
5001916,good
5001917,good
5001918,bad
5001919,neutral
5001920,bad
5001921,neutral
5001922,neutral
5001923,neutral
5001924,neutral
5001925,neutral
5001926,bad
5001927,neutral
5001931,neutral
5001932,neutral
5001933,neutral
5001936,bad
5001940,bad
5001941,neutral
5001942,neutral
5001943,neutral
5001944,bad
5001945,bad
5001946,bad
5001947,neutral
5001948,bad
5001949,good
5001950,good
5001951,neutral
5001952,neutral
5001953,neutral
5001954,neutral
5001956,bad
5001957,bad
5001958,neutral
5001959,neutral
5001960,neutral
5001961,bad
5001962,good
5001963,good
5001964,bad
5001965,neutral
5001966,neutral
5001967,neutral
5001968,neutral
5001970,bad
5001976,good
5001982,good
5001983,bad
5001986,neutral
5001987,neutral
5001988,neutral
5001989,neutral
5001990,neutral
5001991,neutral
5001993,good
5001994,good
5001995,good
5001996,good
5001997,good
5001998,neutral
5001999,neutral
5002000,neutral
5002001,neutral
5002002,neutral
5002003,neutral
5002004,neutral
5002005,neutral
5002006,neutral
5002007,neutral
5002008,neutral
5002009,neutral
5002010,bad
5002011,bad
5002012,neutral
5002013,neutral
5002015,bad
5002016,neutral
5002018,good
5002019,neutral
5002020,good
5002021,neutral
5002022,neutral
5002023,neutral
5002024,good
5002025,neutral
5002026,neutral
5002028,neutral
5002029,bad
5002030,bad
5002031,neutral
5002032,good
5002033,good
5002034,good
5002035,good
5002037,good
5002038,bad
5002039,bad
5002041,neutral
5002042,bad
5002043,bad
5002044,bad
5002046,good
5002047,neutral
5002048,neutral
5002049,neutral
5002050,bad
5002052,good
5002053,good
5002054,good
5002055,good
5002057,neutral
5002058,neutral
5002059,good
5002060,neutral
5002061,bad
5002062,bad
5002068,neutral
5002069,neutral
